whisky_name,whisky_type,ratings,reviews_count,volume_alcohol_percentage,stock_flag,price,description,image_url,whisky_link
Chichibu Peated 2012 Cask #2088 TWE Exclusive,Japanese Single Malt Whisky,4,(1 Review),70cl / 63.2%,In Stock,"£1,300","This single cask of peated spirit was distilled at Chichibu in 2012 and aged in a second-fill bourbon barrel. It was hand-selected by The Whisky Exchange for its rich and full texture, flavours of barbecue smoke and plum sauce, and its lingering finish.",https://img.thewhiskyexchange.com/900/japan_chi2012v1.jpg,https://www.thewhiskyexchange.com/p/40263/chichibu-peated-2012-cask-2088-twe-exclusive
Nikka Taketsuru 21 Year Old 80th Anniversary,,,,70cl / 48%,In Stock,"£1,200","Released to celebrate the 80th anniversary of Nikka, this special edition of Taketsuru 21 Year Old is non-chill filtered, which has resulted in a welcome raise in abv to 48%. Nikka's blended malt is named after Nikka's founder – Masataka Taketsuru.",https://img.thewhiskyexchange.com/900/japan_tak6.jpg,https://www.thewhiskyexchange.com/p/26273/nikka-taketsuru-21-year-old-80th-anniversary
Yoichi 12 Year Old,Japanese Single Malt Whisky,4,(3 Reviews),70cl / 45%,In Stock,£750,A top-quality Japanese single malt whisky. This is absolutely superb stuff and must be tried by serious whisky aficionados.,https://img.thewhiskyexchange.com/900/japan_yoi2.jpg,https://www.thewhiskyexchange.com/p/2945/yoichi-12-year-old
Suntory Hibiki 12 Year Old,Japanese Blended Whisky,5,(43 Reviews),70cl / 43%,In Stock,£750,"A stunning 12 year-old blend from Hibiki, some of the whisky has been part-matured in plum liqueur casks. Lovely malt from Hakushu and Yamazaki, plus some aged grain from Chita, this terrific Japanese blend picked up the top prize in its category at the World Whisky Awards 2010.",https://img.thewhiskyexchange.com/900/japan_hib5.jpg,https://www.thewhiskyexchange.com/p/9847/suntory-hibiki-12-year-old
Chichibu On The Way Bot.2015 Ichiro's Malt,Japanese Single Malt Whisky,4.5,(2 Reviews),70cl / 55.5%,In Stock,£500,"The 2015 release of Chichibu On The Way, a series charting the fledgling distillery's progress. This is a multi-vintage vatting of whisky distilled at various times since they opened in 2008, including some of their oldest. Surprisingly complex for a young whisky, it shows the skill of distiller Ichiro Akuto and his team.",https://img.thewhiskyexchange.com/900/japan_chi12.jpg,https://www.thewhiskyexchange.com/p/33515/chichibu-on-the-way-bot2015-ichiros-malt
Hanyu The Joker Colour Label,Single Malt Japanese Whisky,4.5,(2 Reviews),70cl / 57.7%,In Stock,"£7,500","The eagerly-anticipated final release from the Ichiro's Malt Card series bottlings from the closed Hanyu distillery. This is a vatting of six vintages (1985, 1986, 1988, 1990, 1991 and 2000) from a total of seven types of cask (chibidaru, bourbon, Madeira, hogshead, Cognac, puncheon and sherry butt).",https://img.thewhiskyexchange.com/900/japan_han19.jpg,https://www.thewhiskyexchange.com/p/24281/hanyu-the-joker-colour-label
Miyagikyo 12 Year Old,Japanese Single Malt Whisky,,,70cl / 40%,In Stock,£550,"Full-bodied, fruity and complex, with some sherry character, hints of toffee and some polished malt. Deservedly popular.",https://img.thewhiskyexchange.com/900/japan_miy2.jpg,https://www.thewhiskyexchange.com/p/2925/miyagikyo-12-year-old
Hanyu 2000 Cask 362 TWE Bottling,Japanese Single Malt Whisky,,,70cl / 56.1%,In Stock,"£2,500","Bottled exclusively for The Whisky Exchange, this Hanyu was distilled in the final year before the distillery closed. Bottled in 2016 and previewed at The Whisky Show to great acclaim, this is a chance to own a piece of Japanese whisky history.",https://img.thewhiskyexchange.com/900/japan_han2000v11.jpg,https://www.thewhiskyexchange.com/p/34679/hanyu-2000-cask-362-twe-bottling
Chichibu 2009 10 Year Old Artist International 10th Anniversary,Single Malt Japanese Whisky,,,70cl / 56.5%,In Stock,"£3,500",,,https://www.thewhiskyexchange.com/p/57939/chichibu-2009-10-year-old-artist-international-10th-anniversary
Nikka Yoichi 1987 18 Year Old Cask #254816,Japanese Single Malt Whisky,,,70cl / 49%,In Stock,"£3,500",,https://img.thewhiskyexchange.com/900/japan_nik1987v1.jpg,https://www.thewhiskyexchange.com/p/56017/nikka-yoichi-1987-18-year-old-cask-254816
Hakushu 10 Year Old,Japanese Single Malt Whisky,5,(1 Review),70cl / 40.5%,In Stock,£375,"A younger expression of Hakushu, this well-mannered 10yo represents one of the gentlest introductions to the elegant, impeccably-constructed qualities of Japanese malt whisky.",https://img.thewhiskyexchange.com/900/japan_hak6.jpg,https://www.thewhiskyexchange.com/p/10132/hakushu-10-year-old
Tokinoka Black Blended Whisky,Japanese Blended Whisky,,,50cl / 50%,In Stock,£47.95,"Created by Master Blender Akito Ueda, this Japanese blended whisky from White Oak distillery is a variation of the original Tokinoka blend. A mix of 50% malt whisky and 50% grain whisky it has been aged in three different types of cask – ex-bourbon, Xeres and virgin oak casks. A richer, fruitier blend than the original, Tokinoka Black has notes of pineapples, mangoes and toasted oak, building into spicier notes of ginger, black pepper and cinnamon. The finish is long and lingering, with notes of vanilla and honey.",https://img.thewhiskyexchange.com/900/japan_tok1.jpg,https://www.thewhiskyexchange.com/p/34970/tokinoka-black-blended-whisky
Hanyu 2000 Cask #359 No 1 10th Anniversary,Japanese Single Malt Whisky,,,70cl / 56.6%,In Stock,"£1,500",,https://img.thewhiskyexchange.com/900/japan_han2000v10.jpg,https://www.thewhiskyexchange.com/p/34355/hanyu-2000-cask-359-no-1-10th-anniversary
Yamazaki Mizunara Bot.2011,Japanese Single Malt Whisky,,,70cl / 48%,In Stock,"£5,000",,https://img.thewhiskyexchange.com/900/japan_yam58.jpg,https://www.thewhiskyexchange.com/p/56221/yamazaki-mizunara-bot2011
Karuizawa 1981 Sherry Cask #6056,Japanese Single Malt Whisky,,,70cl / 60.3%,In Stock,"£9,500","An incredibly intense 1981 vintage bottling from cult closed Japanese distillery Karuizawa. Aged in a sherry cask for more than 30 years, this is another excellent example from this legendary distillery – it might just be the best one that we've bottled.",https://img.thewhiskyexchange.com/900/japan_kar1981v4.jpg,https://www.thewhiskyexchange.com/p/21444/karuizawa-1981-sherry-cask-6056
Mars Komagatake Single Malt Bot.2019,Single Malt Japanese Whisky,,,70cl / 48%,In Stock,£135,"The 2019 edition of Mars Komagatake limited edition Japanese single malt. Matured in American white oak bourbon barrels it is a soft and elegant whisky with a subtle peat influence that creates aromas of oak, tobacco, clove-studded orange and floral honey on the nose. The palate offers notes of white chocolate, cashew nuts, orange juice, salted caramel and apple, with an undercurrent of soft smoke throughout.",https://img.thewhiskyexchange.com/900/japan_mar10.jpg,https://www.thewhiskyexchange.com/p/57136/mars-komagatake-single-malt-bot2019
Suntory Torys Classic,Japanese Spirit,3.5,(2 Reviews),70cl / 37%,In Stock,£30.45,"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain.",https://img.thewhiskyexchange.com/900/japan_sun20.jpg,https://www.thewhiskyexchange.com/p/37325/suntory-torys-classic
Yoichi 10 Year Old,Japanese Single Malt Whisky,4.5,(9 Reviews),70cl / 45%,In Stock,£500,"A ten year old, elegantly peaty single malt from Nikka's beautiful Yoichi distillery in Hokkaido, where whisky is made as it used to be in Scotland with small direct-fired stills and matured in the finest wood the company can find. Bottled at 45% for extra oomph. On the face of it, this is expensive for a ten year old whisky, but it's well worth the money in quality terms.",https://img.thewhiskyexchange.com/900/japan_yoi1.jpg,https://www.thewhiskyexchange.com/p/2944/yoichi-10-year-old
Nikka Taketsuru 21 Year Old,,,,70cl / 43%,In Stock,"£1,000","February 2010 marked an extraordinary achievement for Nikka, as their Taketsuru 21yo scooped the title of 'World's Best Blended Malt Whisky' at the World Whiskies Awards for the third time in four years. Bravo, Nikka!.",https://img.thewhiskyexchange.com/900/japan_tak12.jpg,https://www.thewhiskyexchange.com/p/42840/nikka-taketsuru-21-year-old
Chichibu 2010 Cask #1000,Japanese Single Malt Whisky,,,70cl / 62.2%,In Stock,"£3,250","A limited edition Japanese single malt from Chichibu, distilled in 2010 and matured in a single Mizunara oak hogshead, before being bottled in 2018 for Number One Drinks.",https://img.thewhiskyexchange.com/900/japan_chi2010.jpg,https://www.thewhiskyexchange.com/p/45906/chichibu-2010-cask-1000
